date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:44	21962/21962	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-55ca%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-11.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-11.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:44	8202/8202	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-200a%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/icons/sketch-mac-icon.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/icons/sketch-mac-icon.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:45	75511/75511	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-126f7%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-6.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-6.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:45	20822/20822	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-5156%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-7.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-7.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:45	25715/25715	---M--	200	added ('OK')	image/png	etag:%225e2feb7a-6473%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-1.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/portrait/small/avatar-s-1.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:46	83078/83078	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-14486%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-chat.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-chat.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:46	92682/92682	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-16a0a%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/page-user-profile.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/page-user-profile.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:46	96919/96919	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-17a97%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-email.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-email.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:46	7090/7090	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-1bb2%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/auth-login.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/auth-login.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:47	83169/83169	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-144e1%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/index.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/index.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:47	1646/1646	---M--	200	added ('OK')	image/png	etag:%225dd91471-66e%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/logo.png	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/app-assets/img/logo.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:47	83169/83169	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-144e1%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard1.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard1.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:47	85497/85497	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-14df9%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-taskboard.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-taskboard.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:48	70530/70530	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-11382%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-calendar.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/app-calendar.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:48	108834/108834	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-1a922%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/grids.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/grids.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:48	90883/90883	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-16303%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/typography.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/typography.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:49	80226/80226	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-13962%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/syntax-highlighter.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/syntax-highlighter.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:49	152384/152384	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-25340%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/helper-classes.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/helper-classes.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
